# time         sensor    measurable   value
1393135647     6      1      0.0000
1393135658     1      0      19.6790
1393135658     2      0      21.3040
1393135658     6      0      236.0000
1393135658     6      1      0.0000
1393135669     1      0      19.6790
1393135669     2      0      21.2590
1393135669     6      0      236.0000
1393135669     6      1      0.0000
1393135680     1      0      19.7860
1393135680     2      0      21.2460
1393135680     6      0      236.0000
1393135680     6      1      0.0000
1393135691     1      0      19.6790
1393135691     2      0      21.2670
1393135691     6      0      236.0000
1393135691     6      1      0.0000
1393135702     1      0      19.7860
1393135702     2      0      21.2040
1393135702     6      0      236.0000
1393135702     6      1      0.0000
1393135713     1      0      19.9100
1393135713     2      0      21.2670
1393135713     6      0      236.0000
1393135713     6      1      0.0000
1393135724     1      0      19.4300
1393135724     2      0      21.2280
1393135724     6      0      236.0000
1393135724     6      1      0.0000
1393135735     1      0      20.0350
1393135735     2      0      21.1940
1393135735     6      0      236.0000
1393135735     6      1      0.0000
1393135746     1      0      19.6790
1393135746     2      0      21.1940
1393135746     6      0      236.0000
1393135746     6      1      0.0000
1393135757     1      0      19.9100
1393135757     2      0      21.1080
1393135757     6      0      236.0000
1393135757     6      1      0.0000
1393135768     1      0      23.0420
1393135768     2      0      21.5340
1393135768     6      0      236.0000
1393135768     6      1      0.0000
1393135779     1      0      23.3450
1393135779     2      0      21.5150
1393135779     6      0      236.0000
1393135779     6      1      0.0000
1393135790     1      0      23.0960
1393135790     2      0      21.4110
1393135790     6      0      236.0000
1393135790     6      1      0.0000
1393135801     1      0      23.3450
1393135801     2      0      21.5080
1393135801     6      0      236.0000
1393135801     6      1      0.0000
1393135812     1      0      23.2200
1393135812     2      0      21.4370
1393135812     6      0      236.0000
1393135812     6      1      0.0000
1393135823     1      0      20.0350
1393135823     2      0      20.8720
1393135823     6      0      236.0000
1393135823     6      1      0.0000
1393135834     1      0      19.9100
1393135834     2      0      20.8070
1393135834     6      0      236.0000
1393135834     6      1      0.0000
1393135845     1      0      19.6790
1393135845     2      0      20.8830
1393135845     6      0      236.0000
1393135845     6      1      0.0000
1393135856     1      0      19.6790
1393135856     2      0      20.7150
1393135856     6      0      236.0000
1393135856     6      1      0.0000
1393135867     1      0      19.6790
1393135867     2      0      20.7550
1393135867     6      0      236.0000
1393135867     6      1      0.0000
1393135878     1      0      19.4300
1393135878     2      0      20.7020
1393135878     6      0      236.0000
1393135878     6      1      0.0000
1393135889     1      0      19.3230
1393135889     2      0      20.7020
1393135889     6      0      236.0000
1393135889     6      1      0.0000
1393135900     1      0      19.3230
1393135900     2      0      20.7000
1393135900     6      0      236.0000
1393135900     6      1      0.0000
1393135911     1      0      19.3230
1393135911     2      0      20.6660
1393135911     6      0      236.0000
1393135911     6      1      0.0000
1393135922     1      0      18.8430
1393135922     2      0      20.5870
1393135922     6      0      236.0000
1393135922     6      1      0.0000
1393135933     1      0      19.3230
1393135933     2      0      20.5090
1393135933     6      0      236.0000
1393135933     6      1      0.0000
1393135944     1      0      19.2520
1393135944     2      0      20.3960
1393135944     6      0      236.0000
1393135944     6      1      0.0000
1393135955     1      0      19.3230
1393135955     2      0      20.5240
1393135955     6      0      236.0000
1393135955     6      1      0.0000
1393135966     1      0      19.2340
1393135966     2      0      20.5770
1393135966     6      0      236.0000
1393135966     6      1      0.0000
1393135977     1      0      19.3230
1393135977     2      0      20.5770
1393135977     6      0      236.0000
1393135977     6      1      0.0000
1393135988     1      0      19.4300
1393135988     2      0      20.5870
1393135988     6      0      236.0000
1393135988     6      1      0.0000
1393135999     1      0      19.4300
1393135999     2      0      20.5870
1393135999     6      0      236.0000
1393135999     6      1      0.0000
1393136010     1      0      19.2520
1393136010     2      0      20.5430
1393136010     6      0      236.0000
1393136010     6      1      0.0000
1393136021     1      0      19.2520
1393136021     2      0      20.5560
1393136021     6      0      236.0000
1393136021     6      1      0.0000
1393136032     1      0      19.4300
1393136032     2      0      20.5610
1393136032     6      0      236.0000
1393136032     6      1      0.0000
1393136043     1      0      19.3230
1393136043     2      0      20.6030
1393136043     6      0      236.0000
1393136043     6      1      0.0000
1393136054     1      0      19.4300
1393136054     2      0      20.5770
1393136054     6      0      236.0000
1393136054     6      1      0.0000
1393136065     1      0      19.3230
1393136065     2      0      20.7020
1393136065     6      0      236.0000
1393136065     6      1      0.0000
1393136076     1      0      19.3230
1393136076     2      0      20.7390
1393136076     6      0      236.0000
1393136076     6      1      0.0000
1393136087     1      0      19.3230
1393136087     2      0      20.7410
1393136087     6      0      236.0000
1393136087     6      1      0.0000
1393136098     1      0      19.3230
1393136098     2      0      20.7410
1393136098     6      0      236.0000
1393136098     6      1      0.0000
1393136109     1      0      19.4300
1393136109     2      0      20.7340
1393136109     6      0      236.0000
1393136109     6      1      0.0000
1393136120     1      0      19.9100
1393136120     2      0      20.8200
1393136120     6      0      236.0000
1393136120     6      1      0.0000
1393136131     1      0      19.6790
1393136131     2      0      20.8560
1393136131     6      0      236.0000
1393136131     6      1      0.0000
1393136142     1      0      19.5540
1393136142     2      0      20.8560
1393136142     6      0      236.0000
1393136142     6      1      0.0000
1393136153     1      0      19.4300
1393136153     2      0      20.8510
1393136153     6      0      236.0000
1393136153     6      1      0.0000
1393136164     1      0      19.9100
1393136164     2      0      20.8830
1393136164     6      0      236.0000
1393136164     6      1      0.0000
1393136175     1      0      19.7860
1393136175     2      0      20.8980
1393136175     6      0      236.0000
1393136175     6      1      0.0000
1393136186     1      0      19.5540
1393136186     2      0      20.8380
1393136186     6      0      236.0000
1393136186     6      1      0.0000
1393136197     1      0      19.6790
1393136197     2      0      20.8560
1393136197     6      0      236.0000
1393136197     6      1      0.0000
1393136208     1      0      19.9100
1393136208     2      0      20.8380
1393136208     6      0      236.0000
1393136208     6      1      0.0000
1393136219     1      0      19.6790
1393136219     2      0      20.8040
1393136219     6      0      236.0000
1393136219     6      1      0.0000
1393136230     1      0      19.4300
1393136230     2      0      20.7070
1393136230     6      0      236.0000
1393136230     6      1      0.0000
1393136241     1      0      19.5540
1393136241     2      0      20.6660
1393136241     6      0      236.0000
1393136241     6      1      0.0000
1393136252     1      0      19.6790
1393136252     2      0      20.5090
1393136252     6      0      236.0000
1393136252     6      1      0.0000
1393136263     1      0      19.4300
1393136263     2      0      20.4040
1393136263     6      0      236.0000
1393136263     6      1      0.0000
1393136274     1      0      18.6110
1393136274     2      0      19.6560
1393136274     6      0      236.0000
1393136274     6      1      0.0000
1393136285     1      0      18.0240
1393136285     2      0      19.0910
1393136285     6      0      236.0000
1393136285     6      1      0.0000
1393136296     1      0      16.8320
1393136296     2      0      18.2050
1393136296     6      0      236.0000
1393136296     6      1      0.0000
1393136307     1      0      15.8890
1393136307     2      0      17.0070
1393136307     6      0      236.0000
1393136307     6      1      0.0000
1393136318     1      0      15.4440
1393136318     2      0      16.0160
1393136318     6      0      236.0000
1393136318     6      1      0.0000
1393136329     1      0      13.7530
1393136329     2      0      15.3470
1393136329     6      0      236.0000
1393136329     6      1      0.0000
1393136340     1      0      12.5790
1393136340     2      0      14.7370
1393136340     6      0      236.0000
1393136340     6      1      0.0000
1393136351     1      0      12.0980
1393136351     2      0      14.5910
1393136351     6      0      236.0000
1393136351     6      1      0.0000
1393136362     1      0      11.1550
1393136362     2      0      13.7830
1393136362     6      0      236.0000
1393136362     6      1      0.0000
1393136373     1      0      10.2120
1393136373     2      0      12.9560
1393136373     6      0      236.0000
1393136373     6      1      0.0000
1393136384     1      0      9.2690
1393136384     2      0      11.9940
1393136384     6      0      236.0000
1393136384     6      1      0.0000
1393136395     1      0      8.7890
1393136395     2      0      11.9420
1393136395     6      0      236.0000
1393136395     6      1      0.0000
1393136406     1      0      8.3260
1393136406     2      0      12.0540
1393136406     6      0      236.0000
1393136406     6      1      0.0000
1393136417     1      0      8.3260
1393136417     2      0      11.9580
1393136417     6      0      236.0000
1393136417     6      1      0.0000
1393136428     1      0      8.0770
1393136428     2      0      12.3500
1393136428     6      0      236.0000
1393136428     6      1      0.0000
1393136439     1      0      7.9700
1393136439     2      0      12.5330
1393136439     6      0      236.0000
1393136439     6      1      0.0000
1393136450     1      0      7.8990
1393136450     2      0      12.8260
1393136450     6      0      236.0000
1393136450     6      1      0.0000
1393136461     1      0      7.2580
1393136461     2      0      12.8100
1393136461     6      0      236.0000
1393136461     6      1      0.0000
1393136472     1      0      7.1340
1393136472     2      0      12.7320
1393136472     6      0      236.0000
1393136472     6      1      0.0000
1393136483     1      0      6.9020
1393136483     2      0      12.6610
1393136483     6      0      236.0000
1393136483     6      1      0.0000
1393136494     1      0      6.1910
1393136494     2      0      12.3840
1393136494     6      0      236.0000
1393136494     6      1      0.0000
1393136505     1      0      6.1910
1393136505     2      0      12.0880
1393136505     6      0      236.0000
1393136505     6      1      0.0000
1393136516     1      0      5.7280
1393136516     2      0      11.9180
1393136516     6      0      236.0000
1393136516     6      1      0.0000
1393136527     1      0      5.4790
1393136527     2      0      11.7610
1393136527     6      0      236.0000
1393136527     6      1      0.0000
1393136538     1      0      4.5360
1393136538     2      0      11.5940
1393136538     6      0      236.0000
1393136538     6      1      0.0000
1393136549     1      0      4.5360
1393136549     2      0      11.3120
1393136549     6      0      236.0000
1393136549     6      1      0.0000
1393136560     1      0      4.3040
1393136560     2      0      11.1020
1393136560     6      0      236.0000
1393136560     6      1      0.0000
1393136571     1      0      3.8240
1393136571     2      0      10.9770
1393136571     6      0      236.0000
1393136571     6      1      0.0000
1393136582     1      0      3.3610
1393136582     2      0      10.7810
1393136582     6      0      236.0000
1393136582     6      1      0.0000
1393136593     1      0      2.8810
1393136593     2      0      10.5040
1393136593     6      0      236.0000
1393136593     6      1      0.0000
1393136604     1      0      2.6500
1393136604     2      0      10.2420
1393136604     6      0      236.0000
1393136604     6      1      0.0000
1393136615     1      0      2.4000
1393136615     2      0      9.9990
1393136615     6      0      236.0000
1393136615     6      1      0.0000
1393136626     1      0      2.1690
1393136626     2      0      9.8260
1393136626     6      0      236.0000
1393136626     6      1      0.0000
1393136637     1      0      2.1690
1393136637     2      0      9.7740
1393136637     6      0      236.0000
1393136637     6      1      0.0000
1393136648     1      0      1.4570
1393136648     2      0      9.5310
1393136648     6      0      236.0000
1393136648     6      1      0.0000
1393136659     1      0      1.2260
1393136659     2      0      9.1520
1393136659     6      0      236.0000
1393136659     6      1      0.0000
1393136670     1      0      0.9950
1393136670     2      0      8.7230
1393136670     6      0      236.0000
1393136670     6      1      0.0000
1393136681     1      0      0.7460
1393136681     2      0      8.3700
1393136681     6      0      236.0000
1393136681     6      1      0.0000
1393136692     1      0      0.5140
1393136692     2      0      8.1260
1393136692     6      0      236.0000
1393136692     6      1      0.0000
1393136703     1      0      0.4070
1393136703     2      0      7.8520
1393136703     6      0      236.0000
1393136703     6      1      0.0000
1393136714     1      0      0.3360
1393136714     2      0      7.6790
1393136714     6      0      236.0000
1393136714     6      1      0.0000
1393136725     1      0      0.3360
1393136725     2      0      7.3760
1393136725     6      0      236.0000
1393136725     6      1      0.0000
1393136736     1      0      0.3360
1393136736     2      0      7.0830
1393136736     6      0      236.0000
